LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/6/2021;"20";"15";"23";"15";"74";"20";"15";"26";"0";"1016";"0";"0";""
Cagliari;2/6/2021;"22";"18";"25";"15";"65";"21";"15";"30";"0";"1016";"0";"0";""
Cagliari;3/6/2021;"23";"20";"26";"15";"63";"20";"19";"28";"0";"1021";"0";"0";""
Cagliari;4/6/2021;"22";"16";"26";"14";"60";"18";"15";"30";"0";"1022";"0";"0";""
Cagliari;5/6/2021;"23";"20";"26";"17";"73";"20";"13";"22";"0";"1020";"0";"0";"pioggia "
Cagliari;6/6/2021;"23";"20";"29";"18";"74";"17";"16";"30";"0";"1017";"0";"0";"pioggia temporale "
Cagliari;7/6/2021;"23";"16";"28";"14";"60";"21";"22";"33";"0";"1018";"0";"0";""
Cagliari;8/6/2021;"23";"16";"29";"14";"62";"21";"19";"30";"0";"1018";"0";"0";""
Cagliari;9/6/2021;"22";"16";"30";"15";"66";"21";"13";"30";"0";"1017";"0";"0";"pioggia temporale "
Cagliari;10/6/2021;"23";"17";"30";"16";"69";"21";"12";"30";"0";"1016";"0";"0";"pioggia temporale "
Cagliari;11/6/2021;"23";"16";"28";"15";"65";"20";"11";"18";"0";"1016";"0";"0";""
Cagliari;12/6/2021;"23";"17";"28";"16";"65";"21";"11";"21";"0";"1018";"0";"0";""
Cagliari;13/6/2021;"24";"16";"32";"16";"62";"19";"14";"30";"0";"1019";"0";"0";""
Cagliari;14/6/2021;"25";"17";"32";"16";"62";"18";"14";"21";"0";"1017";"0";"0";"nebbia "
Cagliari;15/6/2021;"24";"18";"30";"18";"71";"20";"13";"24";"0";"1016";"0";"0";""
Cagliari;16/6/2021;"25";"21";"29";"19";"73";"21";"15";"24";"0";"1015";"0";"0";""
Cagliari;17/6/2021;"25";"20";"28";"19";"70";"21";"18";"28";"0";"1015";"0";"0";""
Cagliari;18/6/2021;"24";"23";"27";"19";"74";"21";"20";"26";"0";"1016";"0";"0";""
Cagliari;19/6/2021;"24";"21";"27";"20";"78";"21";"17";"28";"0";"1016";"0";"0";""
Cagliari;20/6/2021;"27";"24";"30";"19";"64";"21";"17";"33";"0";"1012";"0";"0";"pioggia temporale "
Cagliari;21/6/2021;"26";"23";"33";"20";"68";"18";"15";"33";"0";"1011";"0";"0";""
Cagliari;22/6/2021;"25";"20";"29";"19";"71";"19";"15";"21";"0";"1012";"0";"0";""
Cagliari;23/6/2021;"24";"21";"28";"20";"77";"19";"12";"30";"0";"1014";"0";"0";"pioggia temporale "
Cagliari;24/6/2021;"25";"22";"32";"20";"74";"20";"13";"22";"0";"1017";"0";"0";"pioggia temporale "
Cagliari;25/6/2021;"25";"21";"35";"18";"65";"22";"13";"24";"0";"1017";"0";"0";"pioggia "
Cagliari;26/6/2021;"25";"20";"30";"17";"66";"21";"17";"28";"0";"1015";"0";"0";""
Cagliari;27/6/2021;"27";"20";"33";"16";"55";"20";"13";"28";"0";"1013";"0";"0";""
Cagliari;28/6/2021;"27";"20";"32";"17";"56";"20";"13";"21";"0";"1013";"0";"0";""
Cagliari;29/6/2021;"28";"23";"35";"19";"63";"20";"15";"22";"0";"1013";"0";"0";"pioggia "
Cagliari;30/6/2021;"26";"21";"31";"19";"67";"19";"12";"18";"0";"1014";"0";"0";""
